zip_code,city,state_code,population,median_age,median_household_income,pct_bachelors_or_higher,pct_owner_occupied,population_density
90001,Los Angeles,CA,57110,29.8,38500,8.1,32.4,15200
94110,San Francisco,CA,75940,36.5,121400,68.2,38.9,28900
78702,Austin,TX,21500,34.2,78600,46.5,52.1,5800
77019,Houston,TX,18900,40.1,142500,72.3,58.7,3900
11211,Brooklyn,NY,80350,32.9,79800,55.4,21.3,42000
10025,Manhattan,NY,93450,38.7,118500,72.9,16.8,69500
33139,Miami,FL,40320,42.1,52000,42.7,27.6,18600
32801,Orlando,FL,18200,33.6,52900,38.2,42.8,4800
98109,Seattle,WA,21500,34.7,95400,67.8,49.5,7600
98004,Bellevue,WA,32400,39.8,131500,78.1,52.7,3900
60614,Chicago,IL,68500,33.2,108500,71.3,38.1,12500
60611,Chicago,IL,30900,37.5,128400,77.1,28.4,28700
80206,Denver,CO,28400,35.4,97500,69.4,52.3,7800
80302,Boulder,CO,30100,32.8,89600,72.6,45.9,2900
30308,Atlanta,GA,18900,32.7,84500,68.2,29.8,5400
30327,Atlanta,GA,16800,44.2,201500,82.4,86.5,1800
02116,Boston,MA,20800,34.1,118400,79.2,32.7,17400
02139,Cambridge,MA,38900,32.3,105800,79.6,33.4,15600
85016,Phoenix,AZ,29400,37.5,68500,42.8,55.4,3900
85251,Scottsdale,AZ,18600,46.2,98400,58.9,68.7,2800
