state_code,year,quarter,unemployment_rate,labor_force_participation,gdp_per_capita,mortgage_rate_30yr,consumer_price_index,months_supply,new_construction_permits
CA,2024,1,5.2,62.1,89400,6.85,310.4,2.8,38500
CA,2024,2,4.9,62.4,90100,6.92,312.1,2.6,40200
CA,2024,3,4.7,62.6,91000,6.78,313.5,2.4,41100
CA,2024,4,4.6,62.7,91800,6.60,314.6,2.5,40500
TX,2024,1,4.1,64.8,71500,6.85,308.5,3.2,52400
TX,2024,2,4.0,65.0,72100,6.92,309.8,3.0,55200
TX,2024,3,3.9,65.1,72800,6.78,311.2,2.8,56700
TX,2024,4,3.8,65.2,73500,6.60,312.4,2.9,55500
NY,2024,1,4.4,61.0,98500,6.85,316.4,3.1,18600
NY,2024,2,4.3,61.2,99100,6.92,317.8,2.9,19400
NY,2024,3,4.2,61.4,99900,6.78,319.1,2.8,20100
NY,2024,4,4.1,61.5,100600,6.60,320.2,2.9,19800
FL,2024,1,3.3,60.5,62500,6.85,307.2,3.4,42700
FL,2024,2,3.2,60.7,63100,6.92,308.6,3.1,44200
FL,2024,3,3.1,60.9,63900,6.78,310.0,2.9,45100
FL,2024,4,3.0,61.0,64600,6.60,311.2,3.0,44600
WA,2024,1,4.5,64.0,86700,6.85,309.7,2.7,14800
WA,2024,2,4.4,64.2,87400,6.92,311.0,2.5,15200
WA,2024,3,4.3,64.3,88200,6.78,312.4,2.3,15500
WA,2024,4,4.2,64.4,88900,6.60,313.5,2.4,15300
