listing_id,state_code,city,zip_code,property_type,bedrooms,bathrooms,sqft_living,sqft_lot,year_built,hoa_fee_monthly,days_on_market,latitude,longitude,list_price,sale_price,list_date,sale_date
1001,CA,Los Angeles,90001,Single Family,3,2.0,1450,5200,1968,0,28,33.9731,-118.2479,675000,665000,2025-01-12,2025-02-10
1002,CA,San Francisco,94110,Condo,2,1.5,980,0,1992,420,18,37.7484,-122.4172,1125000,1140000,2025-02-01,2025-02-21
1003,TX,Austin,78702,Single Family,4,2.5,2200,6500,2010,0,35,30.2616,-97.7148,650000,635000,2025-01-22,2025-02-28
1004,TX,Houston,77019,Single Family,5,3.5,3300,9000,2002,0,40,29.7510,-95.4255,950000,940000,2025-01-15,2025-02-25
1005,NY,Brooklyn,11211,Condo,1,1.0,720,0,1980,610,22,40.7140,-73.9530,890000,895000,2025-02-04,2025-02-27
1006,NY,Manhattan,10025,Condo,2,2.0,1100,0,1975,1100,30,40.7989,-73.9680,1650000,1620000,2025-01-30,2025-03-01
1007,FL,Miami,33139,Condo,2,2.0,1050,0,2005,750,45,25.7878,-80.1300,720000,705000,2025-01-10,2025-02-24
1008,FL,Orlando,32801,Single Family,3,2.0,1750,5500,1995,0,38,28.5400,-81.3800,425000,418000,2025-01-20,2025-02-27
1009,WA,Seattle,98109,Single Family,3,2.5,2050,4800,1989,0,20,47.6360,-122.3460,1100000,1085000,2025-01-25,2025-02-14
1010,WA,Bellevue,98004,Single Family,4,3.0,2700,7200,2014,0,18,47.6101,-122.2015,1850000,1900000,2025-01-12,2025-01-30
1011,IL,Chicago,60614,Townhouse,3,2.5,1900,1600,2008,300,33,41.9230,-87.6440,725000,715000,2025-02-01,2025-03-05
1012,IL,Chicago,60611,Condo,1,1.0,750,0,1998,520,25,41.8950,-87.6190,510000,495000,2025-01-28,2025-02-22
1013,CO,Denver,80206,Single Family,3,2.0,1800,6000,1985,0,15,39.7300,-104.9540,795000,810000,2025-02-05,2025-02-20
1014,CO,Boulder,80302,Single Family,4,3.0,2400,7800,1999,0,28,40.0150,-105.2700,1395000,1380000,2025-01-18,2025-02-15
1015,GA,Atlanta,30308,Condo,2,2.0,1250,0,2012,380,32,33.7700,-84.3800,485000,475000,2025-01-22,2025-02-23
1016,GA,Atlanta,30327,Single Family,5,4.0,3800,15000,2001,0,55,33.8500,-84.4100,1495000,1450000,2025-01-05,2025-03-01
1017,MA,Boston,02116,Condo,1,1.0,820,0,1976,650,22,42.3500,-71.0700,795000,810000,2025-02-02,2025-02-24
1018,MA,Cambridge,02139,Townhouse,3,2.5,1750,1400,1968,220,31,42.3650,-71.1040,1295000,1310000,2025-01-12,2025-02-12
1019,AZ,Phoenix,85016,Single Family,3,2.0,1850,7000,1992,0,24,33.5100,-112.0400,485000,478000,2025-01-25,2025-02-18
1020,AZ,Scottsdale,85251,Single Family,4,3.0,2750,8800,2007,0,29,33.5050,-111.9000,925000,945000,2025-01-15,2025-02-13
